Kyle,,Kevan,,Sheets,,Austin,,Cam,,Jaron,,Matt,,Ray,,Coleman,,Alex,,Jeremy,,Timmy,
"Justin Fields
QB - NYJ - 9",$6,"Bijan Robinson
RB - ATL - 5",$48,"Lamar Jackson
QB - BAL - 7",$54,"Jonathan Taylor
RB - IND - 11",$21,"Tee Higgins
WR - CIN - 10",$22,"Saquon Barkley
RB - PHI - 9",$42,"Jayden Daniels
QB - WAS - 12",$30,"Brock Bowers
TE - LV - 8",$10,"Brian Thomas Jr.
WR - JAC - 8",$14,"Bucky Irving
RB - TB - 9",$6,"Ladd McConkey
WR - LAC - 12",$8,"Nico Collins
WR - HOU - 6",$32
"Patrick Mahomes II
QB - KC - 10",$28,"Josh Allen
QB - BUF - 7",$52,"Sam LaPorta
TE - DET - 8",$12,"Tyreek Hill
WR - MIA - 12",$24,"Christian McCaffrey
RB - SF - 14",$36,"Bo Nix
QB - DEN - 12",$30,"Justin Jefferson
WR - MIN - 6",$45,"Jalen Hurts
QB - PHI - 9",$45,"Ashton Jeanty
RB - LV - 8",$38,"TreVeyon Henderson
RB - NE - 14",$25,"CeeDee Lamb
WR - DAL - 10",$50,"Omarion Hampton
RB - LAC - 12",$25
"Derrick Henry
RB - BAL - 7",$36,"A.J. Brown
WR - PHI - 9",$35,"Mike Evans
WR - TB - 9",$19,"Puka Nacua
WR - LAR - 8",$43,"Baker Mayfield
QB - TB - 9",$22,"Amon-Ra St. Brown
WR - DET - 8",$49,"George Kittle
TE - SF - 14",$21,"Drake London
WR - ATL - 5",$39,"Joe Burrow
QB - CIN - 10",$45,"Malik Nabers
WR - NYG - 14",$47,"Jahmyr Gibbs
RB - DET - 8",$50,"Ja'Marr Chase
WR - CIN - 10",$53
"Terry McLaurin
WR - WAS - 12",$28,"Kyler Murray
QB - ARI - 8",$22,"Tyler Warren
TE - IND - 11",$5,"Brock Purdy
QB - SF - 14",$21,"Davante Adams
WR - LAR - 8",$20,"Justin Herbert
QB - LAC - 12",$18,"Kenneth Walker III
RB - SEA - 8",$17,"De'Von Achane
RB - MIA - 12",$36,"Josh Jacobs
RB - GB - 5",$28,"Trey McBride
TE - ARI - 8",$34,"Travis Hunter
WR - JAC - 8",$12,"Dak Prescott
QB - DAL - 10",$23
"Jaxon Smith-Njigba
WR - SEA - 8",$29,"Chuba Hubbard
RB - CAR - 14",$16,"Khalil Shakir
WR - BUF - 7",$3,"Jared Goff
QB - DET - 8",$13,"Zay Flowers
WR - BAL - 7",$11,"Rashee Rice
WR - KC - 10",$5,"DK Metcalf
WR - PIT - 5",$18,"Drake Maye
QB - NE - 14",$23,"Travis Kelce
TE - KC - 10",$8,"Jordan Love
QB - GB - 5",$12,"Chase Brown
RB - CIN - 10",$33,"Tony Pollard
RB - TEN - 10",$13
"Kyren Williams
RB - LAR - 8",$25,"David Montgomery
RB - DET - 8",$9,"James Conner
RB - ARI - 8",$12,"Alvin Kamara
RB - NO - 11",$20,"Marvin Harrison Jr.
WR - ARI - 8",$18,"DJ Moore
WR - CHI - 5",$14,"Breece Hall
RB - NYJ - 9",$10,"Courtland Sutton
WR - DEN - 12",$16,"Garrett Wilson
WR - NYJ - 9",$18,"Tetairoa McMillan
WR - CAR - 14",$22,"Caleb Williams
QB - CHI - 5",$12,"Jordan Addison
WR - MIN - 6",$8
"Tua Tagovailoa
QB - MIA - 12",$4,"Mark Andrews
TE - BAL - 7",$3,"Jameson Williams
WR - DET - 8",$16,"Colston Loveland
TE - CHI - 5",$8,"James Cook
RB - BUF - 7",$22,"Denver Broncos
DS - DST - 12",$1,"C.J. Stroud
QB - HOU - 6",$17,"Jaylen Waddle
WR - MIA - 12",$13,"J.J. McCarthy
QB - MIN - 6",$12,"Calvin Ridley
WR - TEN - 10",$14,"Rome Odunze
WR - CHI - 5",$10,"Cam Skattebo
RB - NYG - 14",$4
"DeVonta Smith
WR - PHI - 9",$15,"Cooper Kupp
WR - SEA - 8",$2,"D'Andre Swift
RB - CHI - 5",$6,"Jacory Croskey-Merritt
RB - WAS - 12",$8,"Aaron Jones Sr.
RB - MIN - 6",$5,"Jaylen Warren
RB - PIT - 5",$8,"Isiah Pacheco
RB - KC - 10",$11,"J.K. Dobbins
RB - DEN - 12",$8,"Emeka Egbuka
WR - TB - 9",$13,"Deebo Samuel Sr.
WR - WAS - 12",$1,"Jayden Reed
WR - GB - 5",$3,"Bryce Young
QB - CAR - 14",$14
"Joe Mixon
RB - HOU - 6",$2,"Josh Downs
WR - IND - 11",$5,"Trevor Lawrence
QB - JAC - 8",$10,"Xavier Worthy
WR - KC - 10",$18,"Chris Godwin
WR - TB - 9",$8,"T.J. Hockenson
TE - MIN - 6",$7,"George Pickens
WR - DAL - 10",$14,"Jaxson Dart
QB - NYG - 14",$2,"Kaleb Johnson
RB - PIT - 5",$9,"Chris Olave
WR - NO - 11",$10,"Matthew Stafford
QB - LAR - 8",$4,"Ricky Pearsall
WR - SF - 14",$19
"Jerry Jeudy
WR - CLE - 9",$7,"Marvin Mims Jr.
WR - DEN - 12",$3,"RJ Harvey
RB - DEN - 12",$18,"Stefon Diggs
WR - NE - 14",$6,"Cameron Ward
QB - TEN - 10",$11,"Tyrone Tracy Jr.
RB - NYG - 14",$12,"Arizona Cardinals
DS - DST - 8",$1,"Cedric Tillman
WR - CLE - 9",$3,"Brian Robinson Jr.
RB - WAS - 12",$2,"Jerome Ford
RB - CLE - 9",$1,"Tucker Kraft
TE - GB - 5",$2,"Bhayshul Tuten
RB - JAC - 8",$3
"Jake Ferguson
TE - DAL - 10",$4,"Los Angeles Chargers
DS - DST - 12",$1,"Jakobi Meyers
WR - LV - 8",$11,"Travis Etienne Jr.
RB - JAC - 8",$10,"Geno Smith
QB - LV - 8",$6,"Austin Ekeler
RB - WAS - 12",$3,"Najee Harris
RB - LAC - 12",$1,"Keenan Allen
WR -  - ",$1,"Tyjae Spears
RB - TEN - 10",$2,"Michael Penix Jr.
QB - ATL - 5",$13,"Dylan Sampson
RB - CLE - 9",$2,"Zach Ertz
TE - WAS - 12",$1
"Nick Chubb
RB - HOU - 6",$4,"Tyler Lockett
WR - TEN - 10",$1,"Jordan Mason
RB - MIN - 6",$7,"Tyler Allgeier
RB - ATL - 5",$1,"Aaron Rodgers
QB - PIT - 5",$2,"Quinshon Judkins
RB - CLE - 9",$2,"Matthew Golden
WR - GB - 5",$10,"Rhamondre Stevenson
RB - NE - 14",$1,"Jaydon Blue
RB - DAL - 10",$2,"Jauan Jennings
WR - SF - 14",$4,"Braelon Allen
RB - NYJ - 9",$4,"Romeo Doubs
WR - GB - 5",$2
"Javonte Williams
RB - DAL - 10",$3,"Adam Thielen
WR - CAR - 14",$1,"Zach Charbonnet
RB - SEA - 8",$7,"Spencer Rattler
QB - NO - 11",$1,"Michael Pittman Jr.
WR - IND - 11",$7,"Jayden Higgins
WR - HOU - 6",$3,"Darnell Mooney
WR - ATL - 5",$3,"Woody Marks
RB - HOU - 6",$1,"Raheem Mostert
RB - LV - 8",$1,"Keon Coleman
WR - BUF - 7",$8,"Daniel Jones
QB - IND - 11",$2,"Anthony Richardson Sr.
QB - IND - 11",$1
"Rashid Shaheed
WR - NO - 11",$8,"Tank Bigsby
RB - JAC - 8",$1,"Sam Darnold
QB - SEA - 8",$5,"Xavier Legette
WR - CAR - 14",$2,"Pittsburgh Steelers
DS - DST - 5",$1,"Luther Burden III
WR - CHI - 5",$3,"Christian Kirk
WR - HOU - 6",$1,"David Njoku
TE - CLE - 9",$1,"Kyle Williams
WR - NE - 14",$2,"Los Angeles Rams
DS - DST - 8",$1,"Brandon Aiyuk
WR - SF - 14",$7,"Trey Benson
RB - ARI - 8",$1
"Dallas Cowboys
DS - DST - 10",$1,"Zamir White
RB - LV - 8",$1,"Buffalo Bills
DS - DST - 7",$15,"Houston Texans
DS - DST - 6",$4,"Evan Engram
TE - DEN - 12",$9,"Tre Harris
WR - LAC - 12",$3,"Ray Davis
RB - BUF - 7",$1,"Cleveland Browns
DS - DST - 9",$1,"Baltimore Ravens
DS - DST - 7",$6,"Ollie Gordon II
RB - MIA - 12",$2,"Green Bay Packers
DS - DST - 5",$1,"Philadelphia Eagles
DS - DST - 9",$1
